title,date,description,picture_filename,count_of_search_phrases,contains_money
Is­rael's war on Gaza live: World awaits threat­ened at­tack on Iran ...,17 Apr 2024,40 min­utes ago ... ... ­me­di­a. The at­tacks fol­low a spate of cross-bor­der bomb­ing be­tween Is­rael's ... Al Jazeera Me­dia Net­work logo. © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbZbT18DMFkw7f1mgpvBkQ4tebFdZjHC5jJWpowxVQM8b6Hxmhus7alEN9&s&resize=770%2C513&quality=80,0,False
Ukraine says 13 killed in Russ­ian mis­sile at­tack on Cherni­hiv ...,17 Apr 2024,"5 hours ago ... ... ­me­di­a, re­it­er­at­ing his plea for such sup­port. Cherni­hiv. A res­cue op­er­a­tion is un­der­way fol­low­ing a Russ­ian mis­sile strike. There are peo­ple ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeMKt_0fb0If5jQw45HgMbfD6kR3Zw9-BAb2TmfNinYPe0Xw25qvvWA-Uu&s&resize=770%2C513&quality=80,0,False
Pales­tine | To­day's lat­est from Al Jazeera,17 Apr 2024,15 hours ago ... Al Jazeera Me­dia Net­work logo. © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnIpCsmMWP3PFqK38jl6YkBaW-CU1_4SxebbiF94zy5XdCjNdcb3kNSMw&s&resize=770%2C513&quality=80,0,False
Iran | To­day's lat­est from Al Jazeera,17 Apr 2024,15 hours ago ... Al Jazeera Me­dia Net­work logo. © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8mMf2XRxsAsMFjkwYgFgewaAPS4ZEPoa2cR2FWG7yDeNAp03pyw1IIpi7&s&resize=770%2C513&quality=80,0,False
Biden calls for high­er tax­es on the rich on vis­it to Penn­syl­va­nia ...,17 Apr 2024,12 hours ago ... ... ­me­di­a plat­form. Biden did not ref­er­ence Trump's his­toric hush-mon­ey ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOQpnHqtSND0DnI02Jc2VCRG4f4bCBLgyYZzQ1hbyuNAUm-HfVkGkKeZ4&s&resize=770%2C513&quality=80,0,False
Pak­istan says it blocked so­cial me­dia plat­form X over 'na­tion­al se­cu­ri­ty',17 Apr 2024,"2 hours ago ... Pak­istan blocked ac­cess to so­cial ­me­di­a plat­form X around the time of elec­tions in Feb­ru­ary, the in­te­ri­or min­istry said, cit­ing na­tion­al ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOUKToPTD68qNZGz9rJv7cowoN-GOCkJYF-UZYuMktT6Cq7GkFzZDCtvHN&s&resize=770%2C513&quality=80,0,False
"More than 50,000 Rus­sians killed in Ukrain­ian 'meat grinder': Re­port ...",17 Apr 2024,"3 hours ago ... The tal­ly, com­piled by BBC Russ­ian, in­de­pen­dent ­me­di­a group Me­di­a­zona and vol­un­teers saw the death toll rise ... © 2024 Al Jazeera Me­dia Net­work.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3OAZaAhve5mKvPB8tjhgJ3Sb4MqibV6M2sC0FgWsQusPdAN0uzz56fWs&s&resize=770%2C513&quality=80,0,False
Is­rael's war on Gaza live: World awaits threat­ened at­tack on Iran ...,17 Apr 2024,"3 hours ago ... The at­tack in­jured at least sev­en peo­ple, two se­vere­ly, ac­cord­ing to Is­rael's Arutz She­va ­me­di­a ... Al Jazeera Me­dia Net­work logo. © 2024 Al ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-S6R37G3SWO9lWnxdxelgoZgVd6JR-t6kLdnpozJOq1dfgqcq05kky_E&s&resize=770%2C513&quality=80,0,False
Mid­dle East News | To­day's lat­est from Al Jazeera,17 Apr 2024,15 hours ago ... Al Jazeera Me­dia Net­work logo. © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRtElhlSMgtCCSmpoT_i5pcQ7CNhsIfTlFhGQha_QXyHmYChuPL6HS5jc&s&resize=770%2C513&quality=80,0,False
Ecuador de­clares en­er­gy emer­gency amid se­vere re­gion­al drought ...,17 Apr 2024,"15 hours ago ... “We have ini­ti­at­ed an in­ves­ti­ga­tion for sab­o­tage in cer­tain ar­eas and pow­er plants,” he wrote on so­cial ­me­di­a. ... © 2024 Al Jazeera Me­dia ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrnnu2Eh1Zj25XzS6x280cqnPWqAuAkffORER9lInoxNKORLUdZENNjtE&s&resize=770%2C513&quality=80,0,False
